company,ticker,date,close
"Caterpillar Inc",CAT,"2025-02-19 16:00:00",353
"Caterpillar Inc",CAT,"2025-02-20 16:00:00",349.15
"Caterpillar Inc",CAT,"2025-02-21 16:00:00",340.04
"Caterpillar Inc",CAT,"2025-02-24 16:00:00",338.92
"Caterpillar Inc",CAT,"2025-02-25 16:00:00",342.36
"Caterpillar Inc",CAT,"2025-02-26 16:00:00",342.58
"Caterpillar Inc",CAT,"2025-02-27 16:00:00",340
"Caterpillar Inc",CAT,"2025-02-28 16:00:00",343.95
"Caterpillar Inc",CAT,"2025-03-03 16:00:00",332.04
"Caterpillar Inc",CAT,"2025-03-04 16:00:00",326.75
"Caterpillar Inc",CAT,"2025-03-05 16:00:00",338.49
"Caterpillar Inc",CAT,"2025-03-06 16:00:00",341.01
"Caterpillar Inc",CAT,"2025-03-07 16:00:00",350.3
"Caterpillar Inc",CAT,"2025-03-10 16:00:00",345.21
"Caterpillar Inc",CAT,"2025-03-11 16:00:00",339.77
"Caterpillar Inc",CAT,"2025-03-12 16:00:00",338.13
"Caterpillar Inc",CAT,"2025-03-13 16:00:00",333.31
"Caterpillar Inc",CAT,"2025-03-14 16:00:00",339.64
"Caterpillar Inc",CAT,"2025-03-17 16:00:00",342.64
"Caterpillar Inc",CAT,"2025-03-18 16:00:00",336.71
"Caterpillar Inc",CAT,"2025-03-19 16:00:00",338.62
"Caterpillar Inc",CAT,"2025-03-20 16:00:00",336.25
"Caterpillar Inc",CAT,"2025-03-21 16:00:00",335.78
"Caterpillar Inc",CAT,"2025-03-24 16:00:00",341.67
"Caterpillar Inc",CAT,"2025-03-25 16:00:00",342.62
"Caterpillar Inc",CAT,"2025-03-26 16:00:00",341.11
"Caterpillar Inc",CAT,"2025-03-27 16:00:00",339.3
"Caterpillar Inc",CAT,"2025-03-28 16:00:00",329.69
"Caterpillar Inc",CAT,"2025-03-31 16:00:00",329.8
"Caterpillar Inc",CAT,"2025-04-01 16:00:00",330.57
"Caterpillar Inc",CAT,"2025-04-02 16:00:00",334.66
"Caterpillar Inc",CAT,"2025-04-03 16:00:00",305.76
"Caterpillar Inc",CAT,"2025-04-04 16:00:00",288.08
"Caterpillar Inc",CAT,"2025-04-07 16:00:00",280.06
"Caterpillar Inc",CAT,"2025-04-08 16:00:00",273.94
"Caterpillar Inc",CAT,"2025-04-09 16:00:00",301.01
"Caterpillar Inc",CAT,"2025-04-10 16:00:00",289.16
"Caterpillar Inc",CAT,"2025-04-11 16:00:00",293.45
"Caterpillar Inc",CAT,"2025-04-14 16:00:00",298.12
"Caterpillar Inc",CAT,"2025-04-15 16:00:00",293.43
"Caterpillar Inc",CAT,"2025-04-16 16:00:00",290.14
"Caterpillar Inc",CAT,"2025-04-17 16:00:00",294.25
"Caterpillar Inc",CAT,"2025-04-21 16:00:00",284.74
"Caterpillar Inc",CAT,"2025-04-22 16:00:00",291.17
"Caterpillar Inc",CAT,"2025-04-23 16:00:00",295.77
"Caterpillar Inc",CAT,"2025-04-24 16:00:00",306.86
"Caterpillar Inc",CAT,"2025-04-25 16:00:00",306.45
"Caterpillar Inc",CAT,"2025-04-28 16:00:00",307.06
"Caterpillar Inc",CAT,"2025-04-29 16:00:00",307.4
"Caterpillar Inc",CAT,"2025-04-30 16:00:00",309.27
"Caterpillar Inc",CAT,"2025-05-01 16:00:00",313.96
"Caterpillar Inc",CAT,"2025-05-02 16:00:00",323.68
"Caterpillar Inc",CAT,"2025-05-05 16:00:00",323.11
"Caterpillar Inc",CAT,"2025-05-06 16:00:00",320.89
"Caterpillar Inc",CAT,"2025-05-07 16:00:00",320.29
"Caterpillar Inc",CAT,"2025-05-08 16:00:00",324.25
"Caterpillar Inc",CAT,"2025-05-09 16:00:00",325.62
"Caterpillar Inc",CAT,"2025-05-12 16:00:00",342.55
"Caterpillar Inc",CAT,"2025-05-13 16:00:00",352.54
"Caterpillar Inc",CAT,"2025-05-14 16:00:00",349.66
"Caterpillar Inc",CAT,"2025-05-15 16:00:00",349.81
"Caterpillar Inc",CAT,"2025-05-16 16:00:00",353.58
"Caterpillar Inc",CAT,"2025-05-19 16:00:00",352.57
"Caterpillar Inc",CAT,"2025-05-20 16:00:00",349.49
